Date,^FCHI,^FTSE,^GDAXI,^GSPC
2012-05-31,3017.01001,5320.899902,6264.379883,1310.329956
2012-06-01,2950.469971,5260.200195,6050.290039,1278.040039
2012-06-04,2954.48999,,5978.22998,1278.180054
2012-06-05,2986.100098,,5969.399902,1285.5
2012-06-06,3058.439941,5384.100098,6093.990234000001,1315.130005
2012-06-07,3071.159912,5447.799805,6144.220215,1314.98999
2012-06-08,3051.689941,5435.100098,6130.819824,1325.660034
2012-06-11,3042.76001,5432.399902,6141.049805,1308.930054
2012-06-12,3046.909912,5473.700195,6161.240234000001,1324.180054
2012-06-13,3030.040039,5483.799805,6152.490234000001,1314.880005
2012-06-14,3032.449951,5467.100098,6138.609863000001,1329.099976
2012-06-15,3087.6201170000004,5478.799805,6229.410156,1342.839966
2012-06-18,3066.189941,5491.100098,6248.200195,1344.780029
2012-06-19,3117.919922,5586.299805,6363.359863000001,1357.97998
2012-06-20,3126.52002,5622.299805,6392.129883,1355.689941
2012-06-21,3114.219971,5566.399902,6343.129883,1325.51001
2012-06-22,3090.899902,5513.700195,6263.25,1335.02002
2012-06-25,3021.639893,5450.700195,6132.390136999999,1313.719971
2012-06-26,3012.709961,5447.0,6136.689941,1319.98999
2012-06-27,3063.1201170000004,5523.899902,6228.990234000001,1331.849976
2012-06-28,3051.679932,5493.100098,6149.910156,1329.040039
2012-06-29,3196.649902,5571.200195,6416.279785,1362.160034
2012-07-02,3240.199951,5640.600098,6496.080078,1365.51001
2012-07-03,3271.199951,5687.700195,6578.209961,1374.02002
2012-07-04,3267.75,5684.5,6564.799805,
2012-07-05,3229.360107,5692.600098,6535.560059,1367.579956
2012-07-06,3168.790039,5662.600098,6410.109863000001,1354.680054
2012-07-09,3156.800049,5627.299805,6387.569824,1352.459961
2012-07-10,3175.409912,5664.100098,6438.330078,1341.469971
2012-07-11,3157.25,5664.5,6453.850098,1341.449951
2012-07-12,3135.179932,5608.299805,6419.350098,1334.76001
2012-07-13,3180.810059,5666.100098,6557.100098,1356.780029
2012-07-16,3179.899902,5662.399902,6565.720215,1353.640015
2012-07-17,3176.969971,5629.100098,6577.640136999999,1363.670044
2012-07-18,3235.399902,5685.799805,6684.419922,1372.780029
2012-07-19,3263.639893,5714.200195,6758.390137,1376.51001
2012-07-20,3193.889893,5651.799805,6630.02002,1362.660034
2012-07-23,3101.530029,5533.899902,6419.330078,1350.52002
2012-07-24,3074.679932,5499.200195,6390.410156,1338.310059
2012-07-25,3081.73999,5498.299805,6406.52002,1337.890015
2012-07-26,3207.1201170000004,5573.200195,6582.959961,1360.02002
2012-07-27,3280.189941,5627.200195,6689.399902,1385.969971
2012-07-30,3320.709961,5693.600098,6774.060059,1385.300049
2012-07-31,3291.659912,5635.299805,6772.259765999999,1379.319946
2012-08-01,3321.560059,5712.799805,6754.459961,1375.319946
2012-08-02,3232.459961,5662.299805,6606.089844,1365.0
2012-08-03,3374.1899409999996,5787.299805,6865.660156,1390.98999
2012-08-06,3401.5600590000004,5808.799805,6918.720215,1394.22998
2012-08-07,3453.280029,5841.200195,6967.950195,1401.349976
2012-08-08,3438.26001,5845.899902,6966.149901999999,1402.219971
2012-08-09,3456.709961,5851.5,6964.990234000001,1402.800049
2012-08-10,3435.6201170000004,5847.100098,6944.560059,1405.869995
2012-08-13,3426.4099119999996,5831.899902,6909.680176000001,1404.109985
2012-08-14,3450.2700200000004,5864.799805,6974.390137,1403.930054
2012-08-15,3449.1999509999996,5833.0,6946.799805,1405.530029
2012-08-16,3480.48999,5834.5,6996.290039,1415.51001
2012-08-17,3488.3798829999996,5852.399902,7040.879883,1418.160034
2012-08-20,3480.580078,5824.399902,7033.680176000001,1418.130005
2012-08-21,3513.280029,5857.5,7089.319823999999,1413.170044
2012-08-22,3461.649902,5774.200195,7017.75,1413.48999
2012-08-23,3432.5600590000004,5776.600098,6949.569823999999,1402.079956
2012-08-24,3433.209961,5776.600098,6971.069823999999,1411.130005
2012-08-27,3462.830078,,7047.450195,1410.439941
2012-08-28,3431.5500490000004,5775.700195,7002.680176000001,1409.300049
2012-08-29,3413.889893,5743.5,7010.569823999999,1410.48999
2012-08-30,3379.110107,5719.5,6895.490234000001,1399.47998
2012-08-31,3413.070068,5711.5,6970.790039,1406.579956
2012-09-03,3453.709961,5758.399902,7014.830078,
2012-09-04,3399.040039,5672.0,6932.580078,1404.939941
2012-09-05,3405.790039,5657.899902,6964.689941,1403.439941
2012-09-06,3509.8798829999996,5777.299805,7167.330078,1432.119995
2012-09-07,3519.0500490000004,5794.799805,7214.5,1437.920044
2012-09-10,3506.0500490000004,5793.200195,7213.700195,1429.079956
2012-09-11,3537.3000490000004,5792.200195,7310.109863,1433.560059
2012-09-12,3543.790039,5782.100098,7343.529785,1436.560059
2012-09-13,3502.0900880000004,5819.899902,7310.319823999999,1459.98999
2012-09-14,3581.580078,5915.600098,7412.129883,1465.77002
2012-09-17,3553.6899409999996,5893.5,7403.689941,1461.189941
2012-09-18,3512.6899409999996,5868.200195,7347.689941,1459.319946
2012-09-19,3531.820068,5888.5,7390.759765999999,1461.050049
2012-09-20,3509.919922,5854.600098,7389.490234000001,1460.26001
2012-09-21,3530.719971,5852.600098,7451.620117,1460.150024
2012-09-24,3497.219971,5838.799805,7413.160156,1456.890015
